                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.84025,                0.71779,                 1.0503,                0.91028,                0.80014,                0.88346,                0.73502,                0.73122,                0.54065,                0.92529,             4.0067e-05,             4.0067e-05,             4.0067e-05
                     69,                  0.859,                0.71541,                 1.0212,                0.91214,                0.80156,                0.88483,                0.73568,                0.72722,                0.53916,                0.92381,             3.8889e-05,             3.8889e-05,             3.8889e-05
                     70,                0.82526,                0.69057,                   1.03,                0.91666,                0.80002,                0.88422,                  0.735,                0.72459,                0.53862,                0.92209,             3.7711e-05,             3.7711e-05,             3.7711e-05
                     71,                0.83653,                0.71382,                 1.0296,                0.91428,                0.80328,                0.88399,                  0.736,                0.72145,                 0.5383,                0.92106,             3.6533e-05,             3.6533e-05,             3.6533e-05
                     72,                0.85204,                0.71489,                 1.0567,                0.91469,                0.80294,                0.88398,                0.73527,                0.71896,                0.53869,                0.92066,             3.5355e-05,             3.5355e-05,             3.5355e-05
                     73,                0.81889,                0.70562,                 1.0178,                0.91449,                0.80219,                0.88327,                0.73565,                  0.717,                0.53884,                0.91962,             3.4177e-05,             3.4177e-05,             3.4177e-05
                     74,                0.82974,                0.69257,                   1.02,                0.91678,                0.79877,                0.88327,                 0.7345,                0.71567,                0.53626,                0.91854,             3.2999e-05,             3.2999e-05,             3.2999e-05
                     75,                0.82524,                0.69782,                 1.0327,                0.90931,                0.80355,                0.88449,                0.73616,                 0.7146,                0.53373,                0.91794,             3.1821e-05,             3.1821e-05,             3.1821e-05
                     76,                0.80329,                 0.6632,                 1.0162,                0.92108,                0.79622,                0.88359,                0.73771,                0.71473,                0.53016,                0.91742,             3.0643e-05,             3.0643e-05,             3.0643e-05
                     77,                0.81298,                0.65928,                 1.0146,                0.91772,                0.79944,                0.88441,                0.73934,                0.71309,                0.52756,                0.91689,             2.9464e-05,             2.9464e-05,             2.9464e-05
                     78,                0.81794,                0.68696,                 1.0338,                0.91354,                0.80129,                0.88442,                0.73938,                0.71141,                0.52484,                0.91632,             2.8286e-05,             2.8286e-05,             2.8286e-05
                     79,                0.83109,                  0.672,                 1.0552,                0.91158,                0.80657,                0.88539,                0.73872,                  0.709,                0.52347,                0.91553,             2.7108e-05,             2.7108e-05,             2.7108e-05
                     80,                0.83195,                0.69081,                 1.0174,                0.90238,                0.81196,                0.88494,                0.73967,                0.70808,                0.52249,                  0.915,              2.593e-05,              2.593e-05,              2.593e-05
                     81,                0.86791,                0.70837,                 1.0216,                0.89517,                0.81627,                0.88476,                 0.7415,                0.70782,                0.52225,                0.91436,             2.4752e-05,             2.4752e-05,             2.4752e-05
                     82,                0.83744,                0.71634,                 1.0347,                0.88608,                0.82296,                0.88547,                0.74257,                0.70812,                0.52148,                0.91413,             2.3574e-05,             2.3574e-05,             2.3574e-05
                     83,                0.78843,                0.67121,                  1.012,                0.89004,                0.81371,                 0.8852,                0.74279,                 0.7068,                0.52175,                0.91368,             2.2396e-05,             2.2396e-05,             2.2396e-05
                     84,                0.80293,                0.67119,                 1.0157,                0.88862,                  0.814,                0.88475,                0.74282,                0.70622,                0.52053,                0.91394,             2.1218e-05,             2.1218e-05,             2.1218e-05
                     85,                0.83819,                0.66901,                 1.0299,                0.88694,                0.81541,                0.88596,                0.74342,                0.70414,                0.51923,                0.91302,              2.004e-05,              2.004e-05,              2.004e-05
                     86,                0.81198,                0.69196,                 1.0188,                0.88561,                 0.8126,                0.88675,                0.74408,                0.70207,                0.51913,                0.91271,             1.8862e-05,             1.8862e-05,             1.8862e-05
                     87,                0.78433,                0.66172,                0.99492,                0.89385,                0.80877,                0.88747,                0.74487,                0.70046,                 0.5187,                0.91208,             1.7683e-05,             1.7683e-05,             1.7683e-05
                     88,                0.78039,                0.67207,                 1.0272,                0.90283,                0.80653,                0.88733,                0.74351,                0.70068,                0.51858,                0.91198,             1.6505e-05,             1.6505e-05,             1.6505e-05
                     89,                0.83569,                0.68717,                 1.0219,                0.90657,                0.80835,                 0.8875,                0.74485,                0.69877,                0.51776,                0.91105,             1.5327e-05,             1.5327e-05,             1.5327e-05
                     90,                0.87249,                0.77134,                 1.0312,                 0.9152,                0.79876,                 0.8848,                0.74405,                0.70239,                0.52114,                 0.9103,             1.4149e-05,             1.4149e-05,             1.4149e-05
                     91,                 0.8717,                0.74248,                 1.0205,                  0.916,                0.79415,                 0.8829,                0.74098,                0.70742,                0.52624,                0.91115,             1.2971e-05,             1.2971e-05,             1.2971e-05
                     92,                 0.9187,                0.82564,                 1.0243,                0.90735,                0.79713,                0.88261,                 0.7383,                0.71445,                0.53159,                0.91354,             1.1793e-05,             1.1793e-05,             1.1793e-05
                     93,                0.87298,                0.72481,                 1.0116,                  0.908,                0.79514,                0.88152,                0.73542,                0.72358,                0.53685,                0.91672,             1.0615e-05,             1.0615e-05,             1.0615e-05
                     94,                0.87327,                0.73153,                 1.0276,                0.90497,                0.78906,                0.88083,                0.73123,                0.73002,                0.54031,                0.91918,             9.4367e-06,             9.4367e-06,             9.4367e-06
                     95,                0.87441,                0.75654,                 1.0266,                 0.8584,                0.81983,                0.87923,                0.73057,                0.73549,                0.54531,                0.92118,             8.2586e-06,             8.2586e-06,             8.2586e-06
                     96,                0.84027,                0.70841,                  1.016,                0.85996,                0.81707,                0.87846,                0.72914,                0.73912,                0.54802,                0.92256,             7.0805e-06,             7.0805e-06,             7.0805e-06
                     97,                0.84303,                0.69405,                 1.0063,                0.86552,                0.81264,                0.87835,                0.72939,                0.73949,                0.54928,                0.92268,             5.9024e-06,             5.9024e-06,             5.9024e-06
                     98,                0.82199,                0.68314,                 1.0001,                0.86473,                0.81595,                0.87826,                0.72903,                0.74129,                 0.5497,                0.92361,             4.7243e-06,             4.7243e-06,             4.7243e-06
                     99,                0.82263,                0.66219,                 1.0057,                0.86266,                0.81601,                0.87816,                0.72947,                0.74088,                0.54971,                0.92362,             3.5462e-06,             3.5462e-06,             3.5462e-06
